paper_index	authors	title
8020B035	hans r stoll + roger d huang	Dealer versus auction markets: A paired comparison of execution costs on NASDAQ and the NYSE
800F29A1	manuel davy + christian doncarli + frederic desobry	An online kernel change detection algorithm
7E8FFFF9	konstantinos i diamantaras + sunyuan kung	Cross-correlation neural network models
783DC1C2	david cohen + stephen gould + james e rodgers + daphne koller + gal elidan	Multi-Class Segmentation with Relative Location Prior
7F6C5C35	n a smith + jason eisner	Contrastive estimation: training log-linear models on unlabeled data
7D8922D1	michael j daniels + robert e kass	Shrinkage Estimators for Covariance Matrices
7F3FD600	winfried lohmiller + jeanjacques e slotine	On contraction analysis for non-linear systems
7F3C3B70	geoffrey e hinton + simon osindero	Modeling image patches with a directed hierarchy of Markov random fields
7F5E4746	xiaolong ma + ozgur turel + jung hoon lee + k k likharev	Neuromorphic architectures for nanoelectronic circuits
75FC25F4	w bruce croft + jinxi xu	Query expansion using local and global document analysis
804377C8	le lu + kentaro toyama + gregory d hager	A two level approach for scene recognition
7854CD94	john r anderson	Is human cognition adaptive?
5E8CB7C3	sekhar tatikonda + michael i jordan	Loopy belief propagation and Gibbs measures
7D7F34A7	pietro perona + andrew zisserman + rob fergus	A sparse object category model for efficient learning and exhaustive recognition
7C8B01AC	james b macqueen + d d blackwell	Ferguson Distributions Via Polya Urn Schemes
7EDAFE40	remi munos + andrew w moore	Variable Resolution Discretization for High-Accuracy Solutions of Optimal Control Problems
6F200FFC	wray buntine + aleks jakulin	Analyzing the US Senate in 2003: Similarities, Networks, Clusters and Blocs
63F4F991	matjaz zaversnik + vladimir batagelj	An O(m) Algorithm for Cores Decomposition of Networks
76EDA2AA	aharon bental + arkadi nemirovski	Robust solutions of uncertain linear programs
7AE4E1EC	jon kleinberg + david kempe + eva tardos	Maximizing the spread of influence through a social network
7D112D28	e p loeb + philippe saltiel + emilio bizzi + simon f giszter + fernando a mussaivaldi	Modular organization of motor behavior in the frog's spinal cord
783AA0E4	denis g pelli	The VideoToolbox software for visual psychophysics: transforming numbers into movies
7F695423	kwabena boahen + andreas g andreou	A Contrast Sensitive Silicon Retina with Reciprocal Synapses
76280315	rina dechter	Bucket elimination: a unifying framework for reasoning
5A630790	philip m long + sanjoy dasgupta	Boosting with diverse base classifiers
75302402	agnar hoskuldsson	PLS regression methods
7676F46F	raymond e phinney + robert patterson + christopher bowd	Direction-selective Coding of Stereoscopic (Cyclopean) Motion
7CC05695	joseph felsenstein + jeffrey l thorne + hirohisa kishino	An evolutionary model for maximum likelihood alignment of DNA sequences.
7D53980F	cristian sminchisescu + allan d jepson	Generative modeling for continuous non-linearly embedded visual inference
7D9FE6BB	duane q nykamp	Reconstructing Stimulus-Driven Neural Networks from Spike Times
78E0BC9C	steven a sloman	Feature-Based Induction.
7ED3E61E	x xhu + zoubin ghahramani + john lafferty	Combining active learning and semi-supervised learning using Gaussian fields and harmonic functions
81550B4D	eduardo nebot + juan nieto + jose guivant	The HYbrid metric maps (HYMMs): a novel map representation for DenseSLAM
7522FE83	terrence j sejnowski + peter dayan	TD(λ) Converges with Probability 1
786A08C4	daryl pregibon	Logistic Regression Diagnostics
5898B1C2	hisashi kashima + teruo koyanagi	Kernels for Semi-Structured Data
8047F68E	jan hannig + edwin k p chong + sanjeev r kulkarni	Relative Frequencies of Generalized Simulated Annealing
7F098772	bard ermentrout	Reduction of conductance-based models with slow synapses to neural nets
626C531C	stan z li	Markov Random Field Modeling in Image Analysis
79EFC554	a b tsybakov + florentina bunea + marten wegkamp	Sparsity oracle inequalities for the Lasso
8138955D	douglas eck + dumitru erhan + balazs kegl + norman casagrande + james bergstra	Aggregate features and ADABOOST for music classification
6A3041D6	wentau yih + vasin punyakanok + dav zimak + dan roth	Learning and inference over constrained output
0BD0F9AA	lawrence k saul + killan q weinberger	An introduction to nonlinear dimensionality reduction by maximum variance unfolding
81825AC2	t f cootes + c j taylor + g edwards	Active Appearance Models
7BB0D921	peter lennie	The Cost of Cortical Computation
7D19259C	thomas leung + jianbo shi + serge belongie + jitendra malik	Textons, contours and regions: cue integration in image segmentation
5EFC530C	gilles blanchard + f fleuret	Occam's hammer
7723E246	ping li + kenneth w church	Using sketches to estimate associations
7DEEFE7C	chris hans + joseph r nevins + guang yao + beatrix jones + mike west + adrian dobra	Sparse graphical models for exploring gene expression data
78F23978	harry joe	Estimation of entropy and other functionals of a multivariate density
7A8F4CD7	heinz georg schuster + lutz molgedey	Separation of a Mixture of Independent Signals Using Time Delayed Correlations
756E0134	martin kulldorff + neville nagarwalla	Spatial disease clusters: Detection and inference
01A3B91A	tsuyoshi moriyama + takeo kanade + jeffrey f cohn + jing xiao	Meticulously Detailed Eye Region Model
7569E212	christoph helmberg	Numerical Evaluation of SBmethod
2D63DC01	xiaojin zhu + john lafferty + yan liu	Kernel conditional random fields : representation, clique selection, and semi-supervised learning
800B3111	philip n sabes + samuel j sober	Flexible strategies for sensory integration during motor planning
7BB7B6FC	michael j hawken + robert m shapley + dario l ringach	Dynamics of orientation tuning in macaque primary visual cortex
7EE36B30	mehryar mohri + corinna cortes	Confidence Intervals for the Area Under the ROC Curve
61A323CD	arthur gretton + olivier bousquet + alexander j smola + bernhard scholkopf	Measuring statistical dependence with hilbert-schmidt norms
7F9EC3D6	gyuri dorko + cordelia schmid + hendrik kuck + nando de freitas + peter carbonetto	A Semi-supervised Learning Approach to Object Recognition with Spatial Integration of Local Features and Segmentation Cues
7C00136A	joseph naor + anna moss + samir khuller	The budgeted maximum coverage problem
7DD35DD9	jon kleinberg	An Impossibility Theorem for Clustering
7F7F5CFC	peter stone + nate kohl	Policy gradient reinforcement learning for fast quadrupedal locomotion
7AF52A46	stephan salenius + alfons schnitzler + riitta salmelin + riitta hari + veikko jousmaki	Involvement of Primary Motor Cortex in Motor Imagery: A Neuromagnetic Study
79CD0C5F	esko ukkonen	Approximate string-matching with q -grams and maximal matches
7AFCAA3F	j a hartigan	Asymptotic Distributions for Clustering Criteria
7EC9141B	stefan schaal + jan peters	Policy Gradient Methods for Robotics
7E618951	albert v smith + lincoln stein + gudmundur a thorisson + l krishnan	The International HapMap Project Web site
7E38FCC4	karl j friston + william d penny + l m harrison	Dynamic causal modelling.
7E40142F	nicolas delannay + michel verleysen + cedric archambeau	Robust probabilistic projections
06D23B7F	bin yu	Some Results on Empirical Processes and Stochastic Complexity
7731A7B5	david c parkes + jacomo corbo	The price of selfish behavior in bilateral network formation
7C2A40D6	claudenicolas fiechter	Efficient reinforcement learning
16A6A63A	作村 + 勇一	"""Biophysics of Computation"""
7BE347CB	carl iver hovland + herbert m jenkins + roger n shepard	LEARNING AND MEMORIZATION OF CLASSIFICATIONS
7B98D9DA	john lafferty + xiaojin zhu	Harmonic mixtures: combining mixture models and graph-based methods for inductive and scalable semi-supervised learning
7EF0AAD6	kr muller + stefan harmeling + frank c meinecke + c g puntonet a prieto	Robust ICA for Super-Gaussian Sources
7DFF6622	sebastian thrun	Monte Carlo POMDPs
04CDB06E	martin kulldorff	Spatial Scan Statistics: Models, Calculations, and Applications
7E05296F	fahiem bacchus + shannon dalmao + toniann pitassi	Algorithms and complexity results for #SAT and Bayesian inference
80C0E86A	volker blanz + thomas vetter	Face recognition based on fitting a 3D morphable model
80328CA9	gunnar ratsch + k r mullers + j s weston + bernhard scholkopf + sebastian mika	Fisher discriminant analysis with kernels
682D4A30	mark e smolkin + debashis ghosh	Cluster stability scores for microarray data in cancer studies
609AD3F0	tomer hertz + noam shental + daphna weinshall + misha pavel	Adjustment Learning and Relevant Component Analysis
7EB30B92	david mumford + tai sing lee	Hierarchical Bayesian Inference in the Visual Cortex
7E3ABCF3	david b grimes + rajesh p n rao + rawichote chalodhorn	Dynamic imitation in a humanoid robot through nonparametric probabilistic inference
7EF2E01E	andreas k engel + pieter r roelfsema + wolf singer + peter konig	Visuomotor integration is associated with zero time-lag synchronization among cortical areas.
5B0A8D2D	ming tan + jeffrey c schlimmer	Cost-Sensitive Concept Learning of Sensor Use in Approach and Recognition
7DFAD36B	gregory j zelinsky + dana h ballard + rajesh p n rao + mary hayhoe	Eye movements in iconic visual search
7D9A790E	stephan clemencon + nicolas vayatis + gabor lugosi	Ranking and Scoring Using Empirical Risk Minimization
5C85E2EC	andrew y ng + stuart russell	Algorithms for Inverse Reinforcement Learning
7DEACA9A	jovan popovic + eugene hsu + kari pulli	Style translation for human motion
7A818A99	imre csiszar + paul c shields	Information theory and statistics: a tutorial
80AE4F0C	monique laurent + michel deza	Geometry of cuts and metrics
0C4A3EBB	paul t spellman	Mol Biol Cell 9
7E79E30C	giacomo indiveri + chiara bartolozzi	Synaptic Dynamics in Analog VLSI
8089C4B7	federico girosi	An equivalence between sparse approximation and support vector machines
5B2055C5	bert c huang + tony jebara	Loopy belief propagation for bipartite maximum weight b-matching
8046E9D5	r leonard	A database for speaker-independent digit recognition
80680992	daniel gaticaperez + pedro quelhas + florent monay + jeanmarc odobez + tinne tuytelaars + l van gool	Modeling scenes with local descriptors and latent aspects
7F6A69F2	frey + jojic + kannan	Epitomic analysis of appearance and shape
76520280	trygve haavelmo	The Statistical Implications of a System of Simultaneous Equations
7F9B1F30	mahathi s p mahabhashyam + chuong b do + serafim batzoglou + michael brudno	ProbCons: Probabilistic consistency-based multiple sequence alignment
5EDA9C10	robert benavente + antonio martinez	The AR face database
7734247F	david l donoho + p querre + j l starck + michael elad	Simultaneous cartoon and texture image inpainting using morphological component analysis (MCA)
7D7B5A0E	stephen boyd + miguel sousa lobo + lieven vandenberghe + herve lebret	Applications of second-order cone programming
793081E1	t p speed + harri kiiveri	Gaussian Markov Distributions over Finite Graphs
76EEB73B	j f mertens + shmuel zamir	Formulation of Bayesian analysis for games with incomplete information
7BB4DE99	michael breakspear	�Dynamic� connectivity in neural systems
793A9F75	maxim sviridenko	A note on maximizing a submodular set function subject to a knapsack constraint
7D203BCF	w m wonham	Some Applications of Stochastic Differential Equations to Optimal Nonlinear Filtering
80D28255	vivek k goyal + sundeep rangan + alyson k fletcher	Rate-Distortion Bounds for Sparse Approximation
785CCF36	gert hauske + christoph zetzsche + kerstin schill + ingo rentschler + gerhard krieger	Object and scene analysis by saccadic eye-movements: an investigation with higher-order statistics
5C4CD39D	s j young	Acoustic modelling for large vocabulary continuous speech recognition
0110672D	a daniel	Spielman and Shang-Hua Teng
80A1E128	pavel tomancak + elaine kwan + gerald m rubin + amy beaton + volker hartenstein + shengqiang shu + susan e celniker + richard weiszmann + suzanna e lewis + stephen m richards + michael ashburner	Systematic determination of patterns of gene expression during Drosophila embryogenesis.
789C4B08	s s keerthi + wei chu	New approaches to support vector ordinal regression
7514B2CE	terry caelli + mario ferraro	Lie transformation groups, integral transforms, and invariant pattern recognition
7A5594E7	okan arikan	Compression of motion capture databases
0C254FA4	wolfgang maass + robert legenstein	Edge of chaos and prediction of computational power for neural microcircuit models
804BDD6D	andrew mccallum + charles sutton	Collective Segmentation and Labeling of Distant Entities in Information Extraction
7E50CCC1	ben taskar + dan klein + simon lacostejulien	A discriminative matching approach to word alignment
82397400	takeo kanade + mark b tischler + bernard mettler	System Identification of Small-Size Unmanned Helicopter Dynamics
7DF30129	a h klopf	A Neuronal Model of Classical Conditioning.
7F890E9B	a volgenant + richard jonker	A shortest augmenting path algorithm for dense and sparse linear assignment problems
8084702C	dave steinkraus + john c platt + patrice y simard	Best practices for convolutional neural networks applied to visual document analysis
59368937	vanessa robins + elizabeth bradley + niall rooney + jennifer abernethy	Topology and intelligent data analysis
5BA37876	chris williams + john quinn	Known Unknowns: Novelty Detection in Condition Monitoring
81489AE1	daniel l ruderman + rajesh p n rao	Learning Lie groups for invariant visual perception
8096C6C4	raia hadsell + sumit chopra + yann lecun	Learning a similarity metric discriminatively, with application to face verification
7B22F08D	todd s munson + michael c ferris	Interior-Point Methods for Massive Support Vector Machines
7E504915	bart selman + henry kautz + carla p gomes	Boosting combinatorial search through randomization
7CA583A8	shuheng zhou + h t chan + anupam gupta + bruce m maggs	On hierarchical routing in doubling metrics
59F088D8	philipp hafliger + h kolle riis	A multi-level static memory cell
8048EF1C	david chiang	A hierarchical phrase-based model for statistical machine translation
7CAADA3F	chris bishop	Variational principal components
7E01428E	peter foldiak + dominik endres	Bayesian bin distribution inference and mutual information
81382E9F	david c knill	Robust cue integration: A Bayesian model and evidence from cue-conflict studies with stereoscopic and figure cues to slant
7789F6C1	michael lindenbaum + shai bendavid	Learning distributions by their density levels: a paradigm for learning without a teacher
7F6C5322	mark girolami + ata kaban	Simplicial mixtures of Markov chains: Distributed modelling of dynamic user profiles
7D9E46B8	daniel h oconnor + samuel s h wang + gayle m wittenberg	Graded bidirectional synaptic plasticity is composed of switch-like unitary events
7AD74094	matthew d mcechron + craig weiss + wilbur tseng + john f disterhoft + hans bouwmeester	Hippocampectomy disrupts auditory trace fear conditioning and contextual fear conditioning in the rat
80DA5664	daniel marcu + william wong	A phrase-based, joint probability model for statistical machine translation
79C31D9E	michael r james + satinder singh + britton wolfe	Learning predictive state representations in dynamical systems without reset
7FD1AC3F	alexander topchy + anil k jain	Model-based Clustering With Probabilistic Constraints
816F01CB	nathaniel d daw + david s touretzky	Long-term reward prediction in TD models of the dopamine system
7EF6975C	william mccune	Mace4 reference manual and guide.
7D4CC323	matteo frigo + steven g johnson	The Design and Implementation of FFTW3
7EAB247A	yoram singer + manfred k warmuth	Batch and On-Line Parameter Estimation of Gaussian Mixtures Based on the Joint Entropy
7FDBBCDB	richard g m morris	Spatial localization does not require the presence of local cues
019ED9C8	steve young + n h russell + j thornton	Token Passing: a Simple Conceptual Model for Connected Speech Recognition Systems
066F00FE	e a thompson + charles j geyer	Constrained Monte Carlo maximum likelihood for dependent data
5CF2F8ED	david l waltz	Generating Semantic Descriptions From Drawings of Scenes With Shadows
584E474A	tong zhang	Data Dependent Concentration Bounds for Sequential Prediction Algorithms
80549FC1	max welling + arthur u asuncion + david newman + padhraic smyth	Distributed Inference for Latent Dirichlet Allocation
5FB2525D	a gharbi + fathi m a salam	Implementation and test results of a chip for the separation of mixed signals
7FC06182	justus piater + pierre geurts + louis wehenkel + raphael maree	Random subwindows for robust image classification
7EEE4A52	rene vidal	Online Clustering of Moving Hyperplanes
7CFA3578	andrew y ng + sham m kakade	Online Bounds for Bayesian Algorithms
7D6AE24E	michael i jordan + neil d lawrence	Semi-supervised Learning via Gaussian Processes
7D59AA1D	gabriel curio + guido dornhege + klausrobert muller + benjamin blankertz	Combining Features for BCI
5B15BC56	chris bishop + michael e tipping	Probabilistic Principal Component Analysis
005F4089	satinder singh + john loch	Using Eligibility Traces to Find the Best Memoryless Policy in Partially Observable Markov Decision Processes
8120BA41	haim sompolinsky + h s seung	Simple models for reading neuronal population codes
06283B3F	alan yuille + song chun zhu + zhuowen tu + xuerong chen	Image Parsing: Segmentation, Detection and Recognition
7DD1A149	ohad benshahar + tomas izo + patrick s huggins + steven w zucker	Cortical connections and early visual function: intra- and inter-columnar processing
7D54E8B2	geoffrey e hinton + zoubin ghahramani	Variational Learning for Switching State-Space Models
7DBC7C70	david l donoho	Wedgelets: nearly minimax estimation of edges
78B5BB0F	david h brainard	The psychophysics toolbox
7EAB3098	w y ma + b s manjunath	Texture features for browsing and retrieval of image data
7DF0DE7E	irina rish + rina dechter	Mini-buckets: A general scheme for bounded inference
79AAFBC4	mikhail a lebedev + craig s henriquez + m a nicolelis + parag g patil + dragan f dimitrov + r e crist + joseph e odoherty + david m santucci + jose m carmena	Learning to control a brain-machine interface for reaching and grasping by primates.
8112F701	michael kearns + jennifer wortman + koby crammer	Learning from Data of Variable Quality
08ABCA4A	geoffrey e hinton	Learning distributed representations of concepts
7D503864	geoffrey e hinton + richard s zemel	Autoencoders, Minimum Description Length and Helmholtz Free Energy
7E8FFD8F	tomas lozanoperez + kaijen hsiao	Imitation Learning of Whole-Body Grasps
7D3A19F2	liam paninski + nicholas g hatsopoulos + john p donoghue + matthew r fellows	Spatiotemporal tuning of motor cortical neurons for hand position and velocity
80EA047D	william t freeman + antonio torralba + erik b sudderth + alan s willsky	Learning hierarchical models of scenes, objects, and parts
60F000E7	geoffrey e hinton + zoubin ghahramani	Parameter estimation for linear dynamical systems
80AC5905	yann lecun + l bottou + fabio piano + d delhomme + paolo emilio barbano + feng ning	Toward automatic phenotyping of developing embryos from videos
7E5FF309	sumio watanabe	Algebraic Analysis for Nonidentifiable Learning Machines
7E1020A3	fabian kuhn + rogert wattenhofer + thomas moscibroda	On the locality of bounded growth
802AEDBB	leonid sigal + h w haussecker + alexandru o balan + michael j black	Shining a Light on Human Pose: On Shadows, Shading and the Estimation of Pose and Shape
7CA423FD	wilson s geisler	Physical limits of acuity and hyperacuity
7BDA4671	yoav freund + nicolo cesabianchi + robert e schapire + peter auer	The Nonstochastic Multiarmed Bandit Problem
7FA8318E	marina meilǎ	Comparing clusterings: an axiomatic view
5DC1CE64	michael i jordan + david e rumelhart	Internal world models and supervised learning
80A07D8E	sayan mukherjee + olivier chapelle + olivier bousquet + vladimir vapnik	Choosing Multiple Parameters for Support Vector Machines
7B46F421	donald shankweiler + franklin s cooper + alvin m liberman + michael studdertkennedy	Perception of the speech code
5C61956A	frank jensen + steffen l lauritzen	Stable local computation with conditional Gaussian distributions
79BC4BDB	robert tibshirani	Principal curves revisited
7E114C9F	jeanphilippe vert + yoshihiro yamanishi	Supervised Graph Inference
09A7490F	sean borman	Topics in Multiframe Superresolution Restoration
7EF49107	richard h wolniewicz + lian yan + michael c mozer + robert dodier	Optimizing Classifier Performance via an Approximation to the Wilcoxon-Mann-Whitney Statistic
811F9FAC	josh mcdermott + edward h adelson	The geometry of the occluding contour and its effect on motion interpretation
763EB631	antoine souloumiac + jeanfrancois cardoso	Jacobi Angles for Simultaneous Diagonalization
7EAC2433	bonaventura clotet + theresa puig + lidia ruiz + lieven j stuyver + rudi rossau + ilse vanderlinden + kristel van laethem + annemieke vandamme + jan desmyter + erik de clercq + jeanclaude schmit	Comparison of the LiPA HIV-1 RT test, selective PCR and direct solid phase sequencing for the detection of HIV-1 drug resistance mutations
80D371A1	shihchii liu + matthias oster	Spiking Inputs to a Winner-take-all Network
5C2FAAD0	david j aldous	Probability approximations via the Poisson clumping heuristic
7D164B74	a f m smith + neil j gordon + david j salmond	Novel approach to nonlinear/non-Gaussian Bayesian state estimation
7F504E2E	benjamin recht + ali rahimi + trevor darrell	Learning appearance manifolds from video
7DABB3CC	saad ali + mubarak shah	A Lagrangian Particle Dynamics Approach for Crowd Flow Segmentation and Stability Analysis
7B38168E	jonathan baxter	Learning internal representations
7B05CF8A	robert tibshirani + iain m johnstone + bradley efron + trevor hastie	Least Angle Regression
7F539EED	gunther gerisch + rainer merkl + paul r fisher	Quantitative Analysis of Cell Motility and Chemotaxis in Dictyostelium discoideum by Using an Image Processing System and a Novel Chemotaxis Chamber Providing Stationary Chemical Gradients
7F1166EE	zisserman + sivic	Video Google: a text retrieval approach to object matching in videos
8105CD8A	john c platt	Sequential Minimal Optimization: A Fast Algorithm for Training Support Vector Machines
7632374F	bruce rannala + ziheng yang	Bayesian phylogenetic inference using DNA sequences: a Markov Chain Monte Carlo Method.
7A965DBD	heikki haario + eero saksman	Simulated annealing process in general state space
0186B8B6	vladimir vapnik	On structural risk minimization or overall risk in a problem of pattern recognition
793881EA	david e kim + lars malmstrom + dylan chivian + philip bradley + david baker + bin qian + kira m s misura + jack schonbrun + jens meiler	Free modeling with Rosetta in CASP6
7D1DE51B	thomas m cover + joy a thomas	Elements of information theory
7DA694AA	stefan gunther + christian senger + jessica ahmed + philip e bourne + peer bork + mathias dunkel + andreas gewiess + monica campillos + robert preissner + michael kuhn + roman skoblo + evangelia petsalaki + robert b russell + lars juhl jensen + eduardo garcia urdiales + reinhard schneider	SuperTarget and Matador: resources for exploring drug-target relationships.
79EA2E1F	tamas sarlos	Improved Approximation Algorithms for Large Matrices via Random Projections
5916788B	alexander schrijver	Combinatorial optimization. Polyhedra and efficiency
79405A7E	terence tao + emmanuel j candes	The Dantzig selector: Statistical estimation when p is much larger than n
7E622337	georgios theocharous + leslie pack kaelbling + kevin murphy	Representing hierarchical POMDPs as DBNs for multi-scale robot localization
7EE2601E	brendan j frey + nebojsa jojic	Estimating mixture models of images and inferring spatial transformations using the EM algorithm
7E2CB5BD	boris ostendorf + daniel bruderle + johannes schemmel + karlheinz meier	Modeling Synaptic Plasticity within Networks of Highly Accelerated I&F Neurons
0A9FA626	adrian m whatley + paolo del giudice + vittorio dante	PCI-AER hardware and software for interfacing to address-event based neuromorphic systems
7956A310	thorsten joachims	Training linear SVMs in linear time
7C63CAC8	david siegmund + kang ling james + barry r james	Tests for a Change-Point.
7E49B833	zoubin ghahramani + sam roweis	Learning nonlinear dynamical systems using an EM algorithm
5C664574	andrew mccallum + kamal nigam	A comparison of event models for Naive Bayes text classification
8141C996	shihong lao + bo wu + haizhou ai + chang huang	Fast rotation invariant multi-view face detection based on real Adaboost
798EB6B4	robert l goldstone	Influences of categorization on perceptual discrimination.
6164F0B1	allen gersho + robert m gray	Vector quantization and signal compression
7F1D608D	sebastian thrun + donald a fox + w burgard + dirk hahnel	An efficient fastSLAM algorithm for generating maps of large-scale cyclic environments from raw laser range measurements
7E9C56E9	richard s sutton	Generalization in Reinforcement Learning: Successful Examples Using Sparse Coarse Coding
0B4FEFA3	joel a tropp + anna c gilbert	Signal recovery from partial information via orthogonal match-ing pursuit
5B40A967	david maxwell chickering	Learning Bayesian Networks is NP-Complete
7D3C521F	kishore papineni + salim roukos + todd ward + weijing zhu	BLEU: a method for automatic evaluation of machine translation
7769A1A4	antoine lutz + francisco j varela + jeanphilippe lachaux + eugenio rodriguez + jacques martinerie + michel le van quyen + j foucher	Comparison of Hilbert transform and wavelet methods for the analysis of neuronal synchrony
756EAFF9	john shawetaylor + nello cristianini	Further results on the margin distribution
075C1F6F	zoubin ghahramani	Solving inverse problems using an EM approach to density estimation
7DE02A0F	geoffrey e hinton + peter dayan + michael revow	Modeling the manifolds of images of handwritten digits
6E56A611	emanuel todorov + michael i jordan	Smoothness Maximization Along a Predefined Path Accurately Predicts the Speed Profiles of Complex Arm Movements
68FCAE54	paul viola + michael j jones	Robust Real-time Object Detection
7C9E7E91	david poole	Probabilistic Horn abduction and Bayesian networks
682E2D5D	john langford + michael kearns + sham m kakade	Exploration in Metric State Spaces
807DBCEB	pascal suter + shihchii liu + malte boegerhausen	Modeling Short-Term Synaptic Depression in Silicon
7BEA5F6C	robert c moore + michele banko	Part of speech tagging in context
6111927F	t f cootes + c j taylor + g edwards	Face Recognition Using Active Appearance Models
81511801	levin + weiss + zomet	Learning how to inpaint from global image statistics
7E9FD1BC	michael l littman + alexander l strehl	An empirical evaluation of interval estimation for Markov decision processes
58C56C68	sacha b nelson + l f abbott	Synaptic plasticity: taming the beast
6C85075A	vijay kumar + antonio bicchi	Robotic grasping and contact: a review
5A5458F6	pascal vincent + jeanfrancois paiement + yoshua bengio	Spectral Clustering and Kernel PCA are Learning Eigenfunctions
7873A8DD	david schmeidler + sergiu hart	Existence of correlated equilibria
7CA89035	kimmo uutela + erkki somersalo + matti hamalainen	Visualization of Magnetoencephalographic Data Using Minimum Current Estimates
7F587A0F	xiaojin zhu	Semi-Supervised Learning Literature Survey
7FC40364	tzebung lai + sidney j yakowitz	Machine learning and nonparametric bandit theory
7F423E65	g declerck	A look into the future of nanoelectronics
753D41B6	jan peters + matthias seeger + duy nguyentuong	Computed torque control with nonparametric regression models
7828B167	ran giladbachrach + amir navot + naftali tishby	Margin based feature selection - theory and algorithms
7D73FAD6	sam roweis + amir globerson	Metric Learning by Collapsing Classes
5D5857F8	lizhi liao + christine a shoemaker	Advantages of Differential Dynamic Programming Over Newton''s Method for Discrete-time Optimal Control Problems
7DCD1E60	david j fleet + john l barron + s s beauchemin	Performance of optical flow techniques
5D7B8AAF	eleni drinea + petros drineas + patrick s huggins	An Experimental Evaluation of a Monte-Carlo Algorithm for Singular Value Decomposition
7760660C	yan liu + john lafferty + xiaojin zhu	Kernel conditional random fields: representation and clique selection
7F633339	t j wagner + luc devroye	Distribution-free performance bounds for potential function rules
822291E3	joris m mooij + vicenc gomez + h j kappen	Truncating the loop series expansion for BP
7542286F	kathleen rastle + max coltheart	Serial and strategic effects in reading aloud.
7FD3CC27	wray buntine + aleks jakulin	Applying discrete PCA in data analysis
80F25241	john w fischer + alexander t ihler + alan s willsky	Loopy Belief Propagation: Convergence and Effects of Message Errors
77B5C370	thomas hofmann + yasemin altun + alexander j smola	Gaussian process classification for segmenting and annotating sequences
76A4CF44	j schafer + korbinian strimmer	A shrinkage approach to large-scale covariance matrix estimation and implications for functional genomics.
5A349842	yury kovalchuk + knut holthoff + arthur konnerth + rafael yuste	Single‐shock LTD by local dendritic spikes in pyramidal neurons of mouse visual cortex
7D3C0D18	don hush + ingo steinwart + patrick m kelly + clint scovel	QP Algorithms with Guaranteed Accuracy and Run Time for Support Vector Machines
029C0A4E	michele sebag + olivier teytaud + sylvain gelly	Anytime many-armed bandits
8100A103	matthew d mullin + james m rehg + jianxin wu	Learning a Rare Event Detection Cascade by Direct Feature Selection
7F2786A9	alina beygelzimer + john langford + sham m kakade	Cover trees for nearest neighbor
793BBC1B	yurii nesterov + claude lemarechal + arkadi nemirovski	New variants of bundle methods
80E15EA4	alexei a efros + jitendra malik + greg mori + xiaofeng ren	Recovering human body configurations: combining segmentation and recognition
7BFA9CE4	h s seung + haim sompolinsky + manfred opper	Query by committee
7FAEF559	antoni b chan + nuno vasconcelos	Probabilistic kernels for the classification of auto-regressive visual processes
7A072263	sethu vijayakumar + graham mcneill	A Probabilistic Approach to Robust Shape Matching
791F5FA5	j w vaughan + mark t wallace + w d hairston + barry e stein + g e roberson + james a schirillo	Unifying multisensory signals across time and space
7E25BD2C	alfred o hero + jose a costa	Geodesic entropic graphs for dimension and entropy estimation in manifold learning
7DAFB9C8	richard o duda + carlos avendano + d m thompson + v r algazi	The CIPIC HRTF database
628D8E4F	xiaojin zhu + zoubin ghahramani + john lafferty	Semi-supervised learning : from Gaussian fields to Gaussian processes
7E87F2F8	qiang yang + wenyuan dai + yong yu + guirong xue	Boosting for transfer learning
7C226BB8	peter j green + sylvia richardson	Modelling heterogeneity with and without the Dirichlet process
58904DE2	ellen voorhees	Overview of the TREC 2001 Question Answering Track
802EC48C	bruno a olshausen + phil sallee	Learning Sparse Multiscale Image Representations
0AB58CA1	naftali tishby + ohad shamir	Model Selection and Stability in k-means Clustering
803B06AE	a norman redlich + joseph j atick	Towards a theory of early visual processing
5CF9850C	eric feron + ioannis martinos + bernard mettler + vladislav gavrilets	Flight test and simulation results for an autonomous aerobatic helicopter
67992BC5	david cohn + huan chang	Learning to Probabilistically Identify Authoritative Documents
13DFA56F	richard s sutton + andrew g barto	Reinforcement Learning: An Introduction
7F5D5C3E	suyun huang + yuhjye lee	Reduced Support Vector Machines: A Statistical Theory
5D8B2C3F	santosh vempala + mariaflorina balcan + avrim blum	On Kernels, Margins, and Low-Dimensional Mappings
784CBEA5	andrew t smith	Velocity coding: Evidence from perceived velocity shifts
801D87D1	dale schuurmans + michael bowling + tao wang	Dual Representations for Dynamic Programming and Reinforcement Learning
7F4BCEB5	shi + yu	Multiclass spectral clustering
7D7EADE1	michael i jordan + eric brewer + j w lloyd + alice x zheng + michael chen	Failure diagnosis using decision trees
7ED6BDD0	zoubin ghahramani + thomas l griffiths	Infinite latent feature models and the indian buffet process
71AE469F	nina kowalski + shihab a shamma + didier a depireux	Analysis of Dynamic Spectra in Ferret Primary Auditory Cortex: I. Characteristics of Single Unit Responses to Moving Ripple Spectra
785F8E9D	johan a westerhuis + hans f m boelens + paul h c eilers + fiona fitzpatrick + reyer j dijkstra	New background correction method for liquid chromatography with diode array detection, infrared spectroscopic detection and Raman spectroscopic detection
